	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS8	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS17a	SBS17b	SBS18	SBS20	SBS31	SBS33	SBS35	SBS39	SBS43	SBS44	SBS45	SBS46	SBS53	SBS54	SBS57	SBS60	SBS84	SBS87	SBS288L1/H3	SBS288L2	SBS288L3	SBS288L4	SBS288L5	SBS288H1	SBS288H2	SBS288H4	SBS288H5	DBS1	DBS2	DBS4	DBS5	DBS6	DBS7	DBS9	DBS10	DBS11	DBS78L1/H1	DBS78H2	DBS78H3	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5	Unassigned_SBS
I-H-136375-T1-1-D1-1	162	0	1914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3503	0	0	0	0	1352	0	0	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	269	395	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0
I-H-136424-T1-1-D1-1	184	0	1002	0	0	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I-H-136428-T1-1-D1-1	234	151	1923	0	0	1059	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H134768_T02_01_WG01	417	0	1423	0	0	0	0	0	0	0	0	0	0	0	0	1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1105	0	752	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	207	635	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0
IID_H135068_T05_01_WG01	1533	0	3506	0	0	0	0	0	0	0	0	0	0	497	968	6038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1955	5304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H136433_T07_01_WG01	223	447	1951	0	0	0	0	0	0	1703	287	0	0	0	0	1183	0	1426	0	0	1847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	250	536	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	946
IID_H136640_T01_01_WG01	188	0	940	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H136641_T01_01_WG01	153	335	1238	0	0	0	0	0	0	0	267	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H136648_T01_01_WG01	158	0	266	0	0	0	0	0	0	0	0	0	0	0	0	1590	0	1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	143	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H136649_T01_01_WG01	0	0	806	0	0	0	0	0	0	0	0	0	0	0	0	3323	0	0	0	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IID_H156407_T01_01_WG01	462	0	1081	0	0	1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	821	0	0	0	0	0	0	0	0	0	0	0	1535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468
IID_H156409_T01_01_WG01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	123	102	0	0	0	0	0	149	0	825	1065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
