Samples	Signatures	Mutations
KiCS0312_19_15651_A_02_00	SBS11	0
KiCS0314_19_11045_A_02_00	SBS11	0
KiCS0319_19_11213_A_02_00	SBS11	0
KiCS0319_19_19753_A_02_00	SBS11	0
KiCS0320_20_18316_A_02_00	SBS11	0
KiCS0323_19_26722_A_02_00	SBS11	0
KiCS0324_19_15655_A_02_00	SBS11	0
KiCS0326_19_21779_A_02_00	SBS11	0
KiCS0327_20_75_A_02_00	SBS11	0
KiCS0329_19_12113_A_02_00	SBS11	0
KiCS0332_19_12115_A_02_00	SBS11	0
KiCS0333_19_16938_A_02_00	SBS11	0
KiCS0333_19_16940_A_02_00	SBS11	0
KiCS0334_19_16943_A_02_00	SBS11	0
KiCS0336_20_76_A_02_00	SBS11	0
KiCS0337_19_12649_A_02_00	SBS11	0
KiCS0339_20_1400_A_02_00	SBS11	0
KiCS0341_19_17403_A_02_00	SBS11	0
KiCS0343_19_13225_A_06_00	SBS11	0
KiCS0345_20_1395_A_02_00	SBS11	0
KiCS0347_19_17408_A_02_00	SBS11	0
KiCS0349_19_17411_A_02_00	SBS11	0
KiCS0350_19_25243_A_02_00	SBS11	0
KiCS0350_20_1787_A_02_00	SBS11	0
KiCS0354_19_19173_A_02_00	SBS11	0
KiCS0356_19_17417_A_02_00	SBS11	0
KiCS0358_19_19175_A_02_00	SBS11	0
KiCS0359_19_18908_A_02_00	SBS11	0
KiCS0361_19_18661_A_02_00	SBS11	0
KiCS0362_19_19176_A_02_00	SBS11	0
KiCS0363_19_21783_A_02_00	SBS11	0
KiCS0363_19_21794_A_02_00	SBS11	0
KiCS0365_19_19570_A_02_00	SBS11	0
KiCS0366_19_20056_A_02_00	SBS11	0
KiCS0366_20_11333_A_02_00	SBS11	0
KiCS0370_19_21815_A_02_00	SBS11	0
KiCS0371_19_22172_A_02_00	SBS11	0
KiCS0374_20_3759_A_02_00	SBS11	0
KiCS0374_20_3760_A_02_00	SBS11	0
KiCS0375_20_484_A_02_00	SBS11	0
KiCS0376_19_23808_A_02_00	SBS11	0
KiCS0377_20_18334_A_02_00	SBS11	0
KiCS0378_19_25245_A_02_00	SBS11	0
KiCS0379_20_18013_A_02_00	SBS11	0
KiCS0380_19_25917_A_02_00	SBS11	0
KiCS0383_19_25931_A_02_00	SBS11	0
KiCS0386_20_425_A_02_00	SBS11	0
KiCS0391_20_11161_A_02_00	SBS11	0
KiCS0487_20_20203_A_02_00	SBS11	0
zcc1	SBS11	0
zcc2	SBS11	0
zcc3	SBS11	0
zcc4	SBS11	0
zcc5	SBS11	0
zcc6	SBS11	0
zcc7	SBS11	0
zcc8	SBS11	0
zcc9	SBS11	0
zcc10	SBS11	0
zcc11	SBS11	0
zcc12	SBS11	0
zcc13	SBS11	0
zcc14	SBS11	0
zcc15	SBS11	0
zcc16	SBS11	0
zcc17	SBS11	0
zcc18	SBS11	0
zcc19	SBS11	0
zcc20	SBS11	0
zcc21	SBS11	0
zcc22	SBS11	0
zcc23	SBS11	0
zcc24	SBS11	0
zcc25	SBS11	0
zcc26	SBS11	0
zcc27	SBS11	0
zcc28	SBS11	0
zcc29	SBS11	0
zcc30	SBS11	0
zcc31	SBS11	0
zcc32	SBS11	0
zcc33	SBS11	0
zcc34	SBS11	0
zcc35	SBS11	0
zcc36	SBS11	0
zcc37	SBS11	0
zcc38	SBS11	0
zcc39	SBS11	0
zcc40	SBS11	0
zcc41	SBS11	0
zcc42	SBS11	0
zcc43	SBS11	0
zcc44	SBS11	0
zcc45	SBS11	0
zcc46	SBS11	0
zcc47	SBS11	0
zcc48	SBS11	0
zcc49	SBS11	0
zcc50	SBS11	0
zcc51	SBS11	0
zcc52	SBS11	0
zcc53	SBS11	0
zcc54	SBS11	0
zcc55	SBS11	0
zcc56	SBS11	0
zcc57	SBS11	0
zcc58	SBS11	0
zcc59	SBS11	0
zcc60	SBS11	0
zcc61	SBS11	0
zcc62	SBS11	0
zcc63	SBS11	0
zcc64	SBS11	0
zcc65	SBS11	0
zcc66	SBS11	0
zcc67	SBS11	0
zcc68	SBS11	0
zcc69	SBS11	0
zcc70	SBS11	0
zcc71	SBS11	0
zcc72	SBS11	0
zcc73	SBS11	0
zcc74	SBS11	0
zcc75	SBS11	0
zcc76	SBS11	0
zcc77	SBS11	0
zcc78	SBS11	0
