Samples	Signatures	Mutations
zcc170	Primary-Naive	1431
zcc171	Primary-Naive	0
zcc172	Primary-Naive	0
zcc173	Primary-Naive	0
zcc174	Primary-Naive	0
zcc175	Primary-Naive	1339
zcc176	Primary-Naive	6062
zcc177	Primary-Naive	3600
zcc178	Primary-Naive	1519
zcc331	Primary-Naive	0
zcc179	Primary-Naive	963
zcc180	Primary-Naive	0
zcc182	Primary-Naive	1680
zcc183	Primary-Naive	2064
zcc184	Primary-Naive	0
zcc185	Primary-Naive	0
zcc186	Primary-Naive	0
zcc187	Primary-Naive	0
zcc190	Primary-Naive	0
zcc191	Primary-Naive	0
zcc192	Primary-Naive	2132
zcc193	Primary-Naive	3435
zcc194	Primary-Naive	4887
zcc344	Primary-Naive	0
zcc195	Primary-Naive	0
zcc196	Primary-Naive	0
zcc197	Primary-Naive	923
zcc355	Primary-Naive	0
zcc198	Primary-Naive	0
zcc199	Primary-Naive	0
zcc200	Primary-Naive	1694
zcc365	Primary-Naive	0
zcc201	Primary-Naive	1476
zcc202	Primary-Naive	1386
zcc203	Primary-Naive	1921
zcc377	Primary-Naive	0
zcc380	Primary-Naive	0
zcc205	Primary-Naive	5700
zcc403	Primary-Naive	0
zcc206	Primary-Naive	2985
zcc207	Primary-Naive	6141
zcc209	Primary-Naive	1322
zcc210	Primary-Naive	4470
zcc211	Primary-Naive	4054
zcc212	Primary-Naive	7713
zcc213	Primary-Naive	0
zcc214	Primary-Naive	0
zcc215	Primary-Naive	0
zcc216	Primary-Naive	0
zcc218	Primary-Naive	0
zcc219	Primary-Naive	4155
zcc220	Primary-Naive	1732
zcc221	Primary-Naive	1573
zcc222	Primary-Naive	5697
zcc223	Primary-Naive	0
zcc224	Primary-Naive	3181
zcc225	Primary-Naive	0
zcc226	Primary-Naive	0
zcc227	Primary-Naive	0
zcc228	Primary-Naive	1486
zcc229	Primary-Naive	0
zcc230	Primary-Naive	2102
zcc234	Primary-Naive	0
zcc235	Primary-Naive	0
zcc237	Primary-Naive	0
zcc238	Primary-Naive	2636
zcc239	Primary-Naive	2619
zcc240	Primary-Naive	0
zcc241	Primary-Naive	2259
zcc242	Primary-Naive	0
zcc243	Primary-Naive	1126
zcc244	Primary-Naive	0
zcc245	Primary-Naive	2950
zcc246	Primary-Naive	0
zcc247	Primary-Naive	1475
zcc248	Primary-Naive	4449
zcc249	Primary-Naive	2689
zcc250	Primary-Naive	3667
zcc251	Primary-Naive	4474
zcc252	Primary-Naive	0
IID_H158186_T02_01_WG01	Primary-Naive	0
KiCS0014_328066	Primary-Naive	0
KiCS0032_273811	Primary-Naive	0
KiCS0060_291967	Primary-Naive	185337
KiCS0062_291776	Primary-Naive	27352
KiCS0156_315663	Primary-Naive	0
KiCS0182_331429	Primary-Naive	0
KiCS0195_327479	Primary-Naive	0
KiCS0219_18_1752	Primary-Naive	1402800
KiCS0220_18_748	Primary-Naive	0
KiCS0224_18_1655	Primary-Naive	41647
KiCS0231_18_5970	Primary-Naive	25939
KiCS0279_19_2126_A_02_00	Primary-Naive	1549850
KiCS0281_19_23340_A_02_00	Primary-Naive	455861
KiCS0284_20_18306_A_02_00	Primary-Naive	1236840
KiCS0345_20_11162_A_02_00	Primary-Naive	0
KiCS0352_19_17420_A_02_00	Primary-Naive	1168127
KiCS0368_20_6000_A_02_00	Primary-Naive	1025822
KiCS0385_20_6460_A_02_00	Primary-Naive	25451
KiCS0388_20_8809_A_02_00	Primary-Naive	726853
KiCS0400_20_1851_A_02_00	Primary-Naive	374563
zcc79	Primary-Naive	0
zcc105	Primary-Naive	0
zcc140	Primary-Naive	0
zcc189	Primary-Naive	41693
zcc425	Primary-Naive	0
zcc208	Primary-Naive	367420
zcc231	Primary-Naive	887875
zcc236	Primary-Naive	44801
I-H-108298-T1-1-D1-1	Advanced-Treated	11170
I-H-108317-T1-1-D1-1	Advanced-Treated	3255
I-H-108319-T1-1-D1-1	Advanced-Treated	10558
I-H-108333-T2-2-D1-1	Advanced-Treated	4404
I-H-133672-T1-2-D1-1	Advanced-Treated	0
I-H-133673-T2-1-D1-1	Advanced-Treated	8306
I-H-133674-T1-2-D1-1	Advanced-Treated	10877
I-H-133675-T1-2-D1-1	Advanced-Treated	5682
I-H-134733-T3-2-D1-1	Advanced-Treated	7478
I-H-134753-T1-1-D1-1	Advanced-Treated	0
I-H-134754-T1-1-D1-1	Advanced-Treated	0
I-H-134757-T1-1-D1-1	Advanced-Treated	0
I-H-134768-T1-1-D1-2	Advanced-Treated	3512
I-H-135062-T1-1-D1-1	Advanced-Treated	0
I-H-135065-T1-1-D1-1	Advanced-Treated	4423
I-H-135074-T1-2-D1-1	Advanced-Treated	23470
I-H-135076-T1-1-D1-1	Advanced-Treated	1442
I-H-135088-T1-2-D1-1	Advanced-Treated	7716
I-H-135387-T1-1-D1-1	Advanced-Treated	0
I-H-135393-T1-1-D1-1	Advanced-Treated	0
I-H-135459-T1-2-D1-1	Advanced-Treated	0
I-H-135463-T1-2-D1-1	Advanced-Treated	3509
I-H-135963-T1-1-D1-1	Advanced-Treated	0
I-H-135963-T2-2-D1-1	Advanced-Treated	0
I-H-135967-T1-2-D1-1	Advanced-Treated	23542
I-H-136083-T1-2-D1-1	Advanced-Treated	1691
I-H-136086-T1-1-D1-1	Advanced-Treated	1366
I-H-136134-T1-1-D1-1	Advanced-Treated	15400
I-H-136375-T1-1-D1-1	Advanced-Treated	7492
IID_H134768_T02_01_WG01	Advanced-Treated	4962
IID_H136433_T07_01_WG01	Advanced-Treated	9067
IID_H136641_T01_01_WG01	Advanced-Treated	0
IID_H136648_T01_01_WG01	Advanced-Treated	4736
IID_H136649_T01_01_WG01	Advanced-Treated	4863
IID_H156407_T01_01_WG01	Advanced-Treated	5164
IID_H156409_T01_01_WG01	Advanced-Treated	21429
IID_H156416_T01_01_WG01	Advanced-Treated	847
IID_H158181_T01_01_WG01	Advanced-Treated	0
IID_H158182_T01_01_WG01	Advanced-Treated	3914
IID_H158186_T01_01_WG01	Advanced-Treated	8008
IID_H158223_T01_01_WG01	Advanced-Treated	8447
IID_H158271_T01_01_WG01	Advanced-Treated	0
KiCS0002_321321	Advanced-Treated	15207
KiCS0003_20_15220_A_02_00	Advanced-Treated	17044
KiCS0003_285201	Advanced-Treated	1596
KiCS0003_285202	Advanced-Treated	3670
KiCS0005_300238	Advanced-Treated	0
KiCS0005_4677	Advanced-Treated	0
KiCS0006_274243	Advanced-Treated	3842
KiCS0008_289185	Advanced-Treated	17184
KiCS0010_270645	Advanced-Treated	6761
KiCS0010_270647	Advanced-Treated	18039
KiCS0011_19_24259_A_02_00	Advanced-Treated	1108
KiCS0011_270648	Advanced-Treated	0
KiCS0013_319375	Advanced-Treated	1714
KiCS0015_18_7567	Advanced-Treated	7606
KiCS0015_283113	Advanced-Treated	0
KiCS0015_288017	Advanced-Treated	6214
KiCS0015_316119	Advanced-Treated	8573
KiCS0016_270650	Advanced-Treated	6321
KiCS0017_270651	Advanced-Treated	0
KiCS0017_271603	Advanced-Treated	286
KiCS0024_272790	Advanced-Treated	0
KiCS0025_272791	Advanced-Treated	4813
KiCS0025_307284	Advanced-Treated	11518
KiCS0029_274194	Advanced-Treated	0
KiCS0030_273368	Advanced-Treated	7940
KiCS0031_283112	Advanced-Treated	0
KiCS0033_319631	Advanced-Treated	0
KiCS0035_18_2434_A_03_00	Advanced-Treated	7287
KiCS0035_270452	Advanced-Treated	0
KiCS0036_275797	Advanced-Treated	0
KiCS0036_275798	Advanced-Treated	2617
KiCS0037_283114	Advanced-Treated	0
KiCS0038_305256	Advanced-Treated	7611
KiCS0038_310410	Advanced-Treated	9362
KiCS0039_297368	Advanced-Treated	1289
KiCS0041_317510	Advanced-Treated	2029
KiCS0041_317512	Advanced-Treated	1907
KiCS0042_284388	Advanced-Treated	0
KiCS0044_285046	Advanced-Treated	0
KiCS0045_288555	Advanced-Treated	0
KiCS0046_292280	Advanced-Treated	0
KiCS0048_18_753	Advanced-Treated	17959
KiCS0048_290132	Advanced-Treated	15092
KiCS0049_289183	Advanced-Treated	0
KiCS0049_289187	Advanced-Treated	682
KiCS0050_290492	Advanced-Treated	3141
KiCS0051_289184	Advanced-Treated	6570
KiCS0052_289182	Advanced-Treated	0
KiCS0055_318143	Advanced-Treated	3707
KiCS0059_291150	Advanced-Treated	0
KiCS0061_290886	Advanced-Treated	0
KiCS0064_293844	Advanced-Treated	16300
KiCS0066_301446	Advanced-Treated	0
KiCS0067_294232	Advanced-Treated	7504
KiCS0068_294906	Advanced-Treated	0
KiCS0069_295533	Advanced-Treated	8821
KiCS0069_298700	Advanced-Treated	0
KiCS0074_20_10579_A_02_00	Advanced-Treated	3423
KiCS0074_296401	Advanced-Treated	174
KiCS0074_302458	Advanced-Treated	0
KiCS0076_299020	Advanced-Treated	1860
KiCS0076_303115	Advanced-Treated	1825
KiCS0078_297044	Advanced-Treated	0
KiCS0079_19_7192	Advanced-Treated	1617
