Samples	SV2	SV3	SV4	SV5	SV6	SV8	SV9	SV32A	SV32B	SV32C	SV32D	SV32E
zcc133	0	0	0	0	0	2	0	2	0	3	2	0
KiCS0277_19_13896_A_02_00	20	0	0	0	0	19	0	5	0	0	0	0
KiCS0197_20_15931_A_02_00	20	0	0	0	0	35	0	5	0	0	0	0
KiCS0118_312902	22	7	0	0	0	24	0	6	0	0	0	0
KiCS0002_321321	121	0	0	0	0	23	0	0	113	0	0	0
zcc141	14	0	0	0	64	0	47	0	0	0	0	0
zcc4	0	0	0	32	0	0	0	0	8	0	0	0
zcc118	4	0	0	0	0	8	0	0	0	7	0	0
zcc6	0	0	0	0	0	0	0	1	1	0	0	0
KiCS0204_19_13898_A_02_00	172	0	255	0	93	34	195	42	48	0	0	0
zcc82	15	0	0	0	0	0	0	21	21	0	0	0
I-H-133672-T1-2-D1-1	6	0	0	0	0	2	0	4	5	0	0	0
zcc20	4	0	0	0	0	1	0	0	1	0	0	0
zcc215	0	0	0	0	0	0	0	0	0	0	2	0
zcc1	2	0	0	0	0	0	0	0	1	0	0	0
zcc8	58	0	30	0	0	21	0	15	18	0	0	0
zcc75	6	0	0	0	16	0	0	8	7	0	0	0
KiCS0385_20_6460_A_02_00	25	0	0	0	0	4	0	0	0	0	0	0
KiCS0003_20_15220_A_02_00	56	0	45	0	0	44	0	24	38	0	0	0
zcc176	0	0	0	0	0	2	0	5	1	1	0	0
zcc129	0	2	0	0	0	1	0	2	4	0	0	0
zcc161	0	0	0	0	0	1	0	1	2	0	0	0
zcc38	15	0	0	0	0	0	0	0	0	0	0	0
KiCS0246_18_11279	8	4	0	0	0	10	0	7	0	0	0	0
I-H-135462-T1-2-D1-1	236	0	0	0	0	53	0	99	100	0	0	0
KiCS0327_20_75_A_02_00	45	0	0	0	0	15	0	0	0	0	0	0
I-H-108333-T2-2-D1-1	31	0	0	0	0	0	0	7	0	0	0	0
KiCS0010_270646	17	0	0	0	0	9	0	5	0	0	0	0
zcc222	0	0	0	0	0	0	0	1	0	3	0	0
KiCS0083_298314	72	0	74	0	146	0	112	0	0	0	0	0
zcc220	0	0	0	0	0	0	0	1	3	2	0	0
zcc102	8	0	0	0	0	1	0	1	0	0	0	0
zcc63	34	0	0	0	0	0	0	0	6	0	0	0
zcc89	2	0	0	0	0	1	0	0	0	0	0	0
zcc199	21	0	0	0	0	7	0	5	5	0	0	0
KiCS0345_20_1395_A_02_00	272	0	70	0	0	0	0	44	98	0	0	0
KiCS0274_19_4026_A_02_00	10	0	0	0	0	16	0	4	0	0	0	0
zcc132	13	0	0	0	0	4	0	9	0	0	0	0
zcc30	8	0	0	0	0	0	0	0	2	0	0	0
KiCS0098_301163	13	0	0	16	0	36	0	0	0	0	0	0
KiCS0219_18_1752	19	0	0	0	0	25	0	15	9	0	0	0
IID_H136649_T01_01_WG01	12	0	0	0	0	4	0	0	0	0	0	0
KiCS0006_274243	12	0	0	0	0	4	0	9	3	0	0	0
zcc235	3	0	0	0	0	1	0	2	4	3	0	0
zcc83	0	1	0	0	0	3	0	0	0	0	0	0
zcc243	3	0	0	0	0	1	0	1	0	0	0	0
KiCS0377_20_18334_A_02_00	32	0	0	0	35	23	0	0	0	0	0	0
zcc76	7	0	0	0	0	0	0	0	0	3	0	0
I-H-135459-T1-2-D1-1	9	0	0	0	0	0	0	0	0	0	0	0
KiCS0015_18_7567	56	0	0	0	0	26	0	16	12	0	0	0
KiCS0076_299020	12	0	0	0	0	29	0	0	0	0	0	0
IID_H136640_T01_01_WG01	12	0	0	0	0	2	0	9	3	0	0	0
zcc116	0	0	10	0	41	0	0	5	0	0	9	0
KiCS0145_314010	23	0	0	0	0	21	0	8	0	0	0	0
I-H-135463-T1-2-D1-1	0	0	0	0	0	4	0	28	9	0	0	0
KiCS0100_301918	5	0	0	0	0	11	0	0	2	0	0	0
KiCS0092_19_18518_A_02_00	30	0	0	0	0	42	0	13	0	0	0	0
zcc2	0	0	0	0	0	2	0	0	1	0	0	0
KiCS0029_274194	7	0	0	0	0	0	0	0	0	0	0	0
KiCS0042_284388	15	0	0	0	0	9	0	3	0	0	0	0
zcc55	0	0	0	0	0	0	0	0	0	4	0	0
KiCS0093_305080	17	0	0	0	0	21	0	4	0	0	0	0
KiCS0299_19_3794	12	0	0	0	0	5	0	2	0	0	0	0
KiCS0062_291776	11	0	0	7	0	12	0	0	0	0	0	0
KiCS0171_19_17562_A_02_00	27	0	0	0	0	44	0	20	8	0	0	0
KiCS0314_19_11045_A_02_00	13	0	0	0	0	12	0	0	0	0	0	0
KiCS0115_313555	19	0	0	0	0	15	0	0	0	0	0	0
zcc241	0	0	0	0	0	0	0	0	2	0	0	0
zcc103	5	0	9	0	0	0	0	0	2	0	0	0
KiCS0235_18_4828	8	0	0	0	0	20	0	7	5	0	0	0
KiCS0220_18_8816_A_02_00	55	0	0	0	0	24	0	0	0	0	0	0
I-H-136086-T1-1-D1-1	6	0	0	0	0	1	0	0	0	0	0	0
KiCS0074_296401	11	0	0	0	0	13	0	8	0	0	0	0
