	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS8	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS17a	SBS17b	SBS18	SBS20	SBS31	SBS33	SBS35	SBS39	SBS43	SBS44	SBS45	SBS46	SBS53	SBS54	SBS57	SBS60	SBS84	SBS87	SBS288L1/H3	SBS288L2	SBS288L3	SBS288L4	SBS288L5	SBS288H1	SBS288H2	SBS288H4	SBS288H5	Unassigned_SBS	Burden
zcc171	119	0	1549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	594	0	0	0	0	0	3343
zcc331	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	3732	0	5220	0	0	2729	0	0	0	0	0	0	0	0	0	0	0	3482	0	0	0	0	0	0	0	0	15270
zcc185	123	0	1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598	0	533	0	0	0	0	0	3541
zcc186	0	0	2074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2959
zcc191	140	1854	2838	0	0	0	0	0	0	0	1196	0	0	0	507	0	0	2937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3703	0	0	0	0	0	13175
zcc344	139	0	2988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2516	0	3181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8824
zcc355	0	0	1279	0	0	0	0	0	0	0	0	0	0	0	0	1166	0	914	0	0	860	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	4764
zcc199	0	0	1310	0	0	0	0	0	0	0	0	0	0	0	0	1550	0	1794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	949	0	0	1276	0	0	0	0	0	6879
zcc365	191	0	1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	844	0	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	3274
zcc401	158	0	728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	0	1105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2579
zcc403	213	0	3438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2647	0	0	0	0	0	9239
zcc223	0	0	3384	0	0	0	0	0	0	0	0	0	0	0	0	1589	0	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5868
zcc225	0	0	4813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3976	0	0	0	0	0	10955
zcc233	0	0	2721	0	0	0	0	0	0	0	0	0	0	0	0	4650	0	6724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6884	0	0	0	0	0	20979
zcc242	0	0	956	0	0	0	0	0	0	0	0	0	0	0	0	1507	0	1572	0	2939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6974
KiCS0345_20_11162_A_02_00	125	0	1003	0	0	0	0	0	0	0	0	0	0	0	0	0	4959	11226	0	15340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32653
zcc79	4467	0	12464	0	0	0	0	0	0	0	0	0	0	0	0	0	21436	12576	0	0	0	0	10958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16699	0	0	0	78600
zcc292	0	0	1062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17592	0	8711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27365
