Sample_id	sbs_burden	dbs_burden	id_burden	sbs_log	dbs_log	id_log
KiCS0222_18_7573	Low	Low	Mid	3.401917251	1.322219295	2.440909082
KiCS0224_18_1655	High	High	High	4.619583723	3.014100322	4.345314906
KiCS0225_18_2571	Low	Low	Mid	3.239299479	1.477121255	2.773054693
KiCS0226_18_2569	Low	Low	Low	2.387389826	0.301029996	1.806179974
KiCS0227_18_2559	Low	Low	Mid	3.591509809	1	2.593286067
KiCS0228_18_7579	Low	High	Mid	3.973635773	2.463892989	3.026124517
KiCS0228_18_7577	Low	High	Mid	3.457124626	1.963787827	2.655138435
KiCS0231_18_5970	High	High	Mid	4.413953229	2.741151599	2.913283902
KiCS0235_18_4828	Low	Low	Low	2.680335513	0.84509804	2.06069784
KiCS0238_18_5640	Low	Low	Mid	3.04453976	1	2.418301291
KiCS0239_18_7570	Low	Low	Low	2.884795364	1	2.089905111
KiCS0240_18_8811	Low	Low	Mid	3.32858345	1.041392685	2.346352974
KiCS0241_19_7197	Low	Low	Low	2.682145076	0.698970004	2.021189299
KiCS0245_18_12071	Low	Low	Low	2.955206538	0.301029996	2.079181246
KiCS0246_18_11279	Low	Low	Mid	3.322219295	1.176091259	2.264817823
KiCS0249_19_18443	Low	Low	Low	3.303627976	1.278753601	2.227886705
KiCS0249_20_423_A_02_00	Low	Low	Mid	3.38039216	1.681241237	2.751279104
KiCS0249_20_7122_A_02_00	Low	High	Mid	3.606381365	1.785329835	3.092720645
KiCS0252_18_9296	Low	Low	Low	2.487138375	0.84509804	1.838849091
KiCS0259_18_12197	Low	Low	Mid	3.043755127	0.903089987	2.255272505
KiCS0261_19_18923_A_02_00	Low	High	High	3.980003372	1.806179974	3.67660217
KiCS0263_18_15764_A_03_01	Low	High	Mid	4.067740203	1.924279286	2.897077003
KiCS0266_19_13897_A_02_00	Low	Low	Low	2.991669007	0.84509804	2.08278537
KiCS0269_18_13380	Low	High	Mid	4.035589817	2.588831726	2.865103975
KiCS0270_19_13895_A_02_00	Low	High	Mid	3.390051496	1.826074803	3.057666104
KiCS0271_19_13900_A_02_00	Low	Low	Mid	3.631849462	1.462397998	2.791690649
KiCS0272_20_18312_A_02_00	Low	Low	Mid	2.767897616	1.079181246	2.278753601
KiCS0274_19_4026_A_02_00	Low	Low	Mid	3.303196057	1.079181246	2.33243846
KiCS0276_19_5404_A_02_00	Low	High	Mid	4.165422401	2.561101384	3.092720645
KiCS0277_19_4280_A_02_00	Low	Low	Mid	3.727378569	1.602059991	3.080987047
KiCS0277_19_13896_A_02_00	Low	Low	Mid	3.19838213	1.079181246	2.434568904
KiCS0279_19_2126_A_02_00	High	High	High	6.190289668	3.159867847	4.552278758
KiCS0281_19_23340_A_02_00	High	High	High	5.658832439	4.020816887	4.569584567
KiCS0282_20_18314_A_02_00	Low	Low	Mid	3.837714668	1.681241237	2.900913068
KiCS0282_19_8768_A_02_00	Low	Low	Mid	3.892261607	1.69019608	2.619093331
KiCS0283_19_15299_A_02_00	Low	Low	Low	3.118595365	1.204119983	2.217483944
KiCS0284_20_18306_A_02_00	High	High	High	6.153405368	3.152288344	5.240983326
KiCS0285_19_15633_A_02_00	Low	Low	Low	3.310268367	1.113943352	2.096910013
KiCS0288_20_11147_A_02_00	Low	Low	Mid	3.19368103	1.146128036	2.640481437
KiCS0289_19_15639_A_02_00	Low	Low	Low	2.579783597	0.77815125	1.838849091
KiCS0292_19_15636_A_02_00	Low	Low	Low	2.899273187	1	1.929418926
KiCS0293_19_15645_A_02_00	Low	Low	Low	3.269979677	1.176091259	2.173186268
KiCS0295_19_3667_A_02_00	Low	Low	Mid	2.719331287	0.84509804	2.29666519
KiCS0295_20_6217_A_02_00	Low	Low	Mid	3.248463718	1.447158031	2.522444234
KiCS0296_19_6855	Low	Low	Mid	3.671265433	1.462397998	2.788875116
KiCS0298_19_3826	Low	Low	Low	3.197831693	1.361727836	2.173186268
