Patients_Percent	Months	Therapy
56.390977443609025	85.0	Platinum
47.25274725274725	26.0	Platinum
24.390243902439025	9.0	Platinum
56.61764705882353	101.0	Platinum
0.0	2.0	Platinum
51.42857142857142	34.0	Platinum
22.5	8.0	Platinum
19.444444444444446	7.0	Platinum
56.81818181818182	73.0	Platinum
35.294117647058826	12.0	Platinum
50.0	22.0	Platinum
51.81818181818182	38.0	Platinum
52.58620689655172	46.0	Platinum
50.0	28.0	Platinum
47.88732394366197	18.0	Platinum
17.647058823529413	6.0	Platinum
56.48854961832062	71.0	Platinum
51.85185185185185	36.0	Platinum
44.61538461538462	16.0	Platinum
40.98360655737705	15.0	Platinum
51.45631067961165	32.0	Platinum
57.55395683453237	131.0	Platinum
57.446808510638306	225.0	Platinum
32.6530612244898	11.0	Platinum
50.0	19.0	Platinum
56.15384615384615	70.0	Platinum
50.0	20.0	Platinum
47.77777777777778	25.0	Platinum
36.53846153846153	13.0	Platinum
53.04347826086957	42.0	Platinum
51.92307692307693	33.0	Platinum
52.21238938053098	41.0	Platinum
53.78151260504202	49.0	Platinum
38.59649122807017	14.0	Platinum
53.38983050847458	48.0	Platinum
55.55555555555556	65.0	Platinum
53.333333333333336	53.0	Platinum
54.09836065573771	58.0	Platinum
56.2962962962963	97.0	Platinum
57.85714285714286	220.0	Platinum
51.886792452830186	35.0	Platinum
55.46875	67.0	Platinum
53.71900826446281	54.0	Platinum
50.98039215686274	30.0	Platinum
54.47154471544715	62.0	Platinum
52.991452991452995	47.0	Platinum
43.75	38.0	Anthracycline
0.0	1.0	Anthracycline
22.22222222222222	3.0	Anthracycline
24.324324324324326	10.0	Anthracycline
38.59649122807017	23.0	Anthracycline
28.205128205128204	11.0	Anthracycline
18.51851851851852	6.0	Anthracycline
23.076923076923077	2.0	Anthracycline
48.05194805194805	118.0	Anthracycline
45.07042253521127	50.0	Anthracycline
20.0	4.0	Anthracycline
34.0	17.0	Anthracycline
39.6551724137931	24.0	Anthracycline
19.35483870967742	8.0	Anthracycline
48.717948717948715	119.0	Anthracycline
47.368421052631575	95.0	Anthracycline
45.94594594594595	84.0	Anthracycline
45.20547945205479	59.0	Anthracycline
44.285714285714285	49.0	Anthracycline
20.0	5.0	Anthracycline
41.66666666666667	28.0	Anthracycline
21.21212121212121	9.0	Anthracycline
20.689655172413794	7.0	Anthracycline
34.61538461538461	20.0	Anthracycline
44.11764705882353	41.0	Anthracycline
46.666666666666664	88.0	Anthracycline
35.18518518518518	22.0	Anthracycline
31.818181818181817	14.0	Anthracycline
27.500000000000004	12.0	Anthracycline
44.61538461538462	39.0	Anthracycline
43.47826086956522	47.0	Anthracycline
43.54838709677419	32.0	Anthracycline
50.0	164.0	Anthracycline
44.44444444444444	36.0	Anthracycline
33.33333333333333	15.0	Anthracycline
44.44444444444444	54.0	Anthracycline
48.10126582278481	128.0	Anthracycline
34.78260869565217	16.0	Anthracycline
48.75	131.0	Anthracycline
49.382716049382715	132.0	Anthracycline
0.0	2.0	Antimetabolite
21.428571428571427	10.0	Antimetabolite
45.16129032258064	122.0	Antimetabolite
41.37931034482759	50.0	Antimetabolite
0.0	1.0	Antimetabolite
30.434782608695656	27.0	Antimetabolite
9.090909090909092	8.0	Antimetabolite
0.0	5.0	Antimetabolite
26.666666666666668	12.0	Antimetabolite
0.0	7.0	Antimetabolite
25.0	20.0	Antimetabolite
36.0	29.0	Antimetabolite
39.285714285714285	41.0	Antimetabolite
43.333333333333336	88.0	Antimetabolite
27.27272727272727	22.0	Antimetabolite
23.52941176470588	14.0	Antimetabolite
22.22222222222222	16.0	Antimetabolite
33.33333333333333	28.0	Antimetabolite
38.46153846153847	35.0	Antimetabolite
16.666666666666664	9.0	Antimetabolite
