	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5
	MMRD/MSI	MMRD/MSI	Tobacco	Unknown	Unknown	Radiation	Unknown	Unknown	Top2A	Novel	Novel	Novel	Novel	Novel	Novel	Novel	Novel
KiCS0015_288017	0	530	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0015_316119	0	671	0	339	0	333	0	0	0	0	0	0	0	0	0	0	0
KiCS0016_270650	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0
KiCS0017_270651	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0
KiCS0017_271603	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0
KiCS0018_270652	0	32033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0024_272790	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	87
KiCS0025_272791	0	0	0	0	0	67	0	90	0	0	0	148	0	0	0	0	108
KiCS0025_307284	0	0	92	0	0	115	104	0	0	0	0	0	138	0	0	0	0
KiCS0029_274194	78	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	205
KiCS0030_273368	0	0	0	0	344	279	0	0	0	0	0	0	179	0	0	0	0
KiCS0031_283112	0	0	0	0	0	0	0	131	0	0	0	125	0	0	0	0	145
KiCS0033_319631	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
KiCS0035_18_2434_A_03_00	0	0	0	0	135	110	0	0	0	0	0	0	252	0	0	0	79
KiCS0035_270452	0	0	0	0	0	0	0	115	0	0	0	52	0	0	0	0	78
KiCS0035_270453	0	0	0	0	0	0	0	145	0	0	0	0	161	0	0	0	95
KiCS0035_270454	0	0	0	0	0	0	0	214	0	0	0	83	0	0	0	0	103
KiCS0036_275797	0	0	0	0	0	0	0	161	0	0	0	76	0	0	0	0	69
KiCS0036_275798	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	61
KiCS0037_283114	69	0	0	0	0	0	0	198	0	0	0	205	0	0	0	0	203
KiCS0038_287533	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	253
KiCS0038_305256	0	0	149	0	0	75	0	0	0	0	0	0	66	0	0	0	0
KiCS0038_310410	0	0	160	0	0	79	86	0	0	0	0	0	99	0	0	0	0
KiCS0039_297368	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0041_317510	0	57	0	0	0	0	83	0	0	0	0	50	0	0	0	0	0
KiCS0041_317512	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0
KiCS0042_284388	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0
KiCS0043_290134	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0
KiCS0044_285046	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0
KiCS0045_288555	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0
KiCS0046_292280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0048_18_753	0	0	187	0	0	372	153	0	0	0	205	0	0	0	0	0	0
KiCS0048_290132	0	0	221	0	0	440	197	180	0	0	0	91	0	0	0	0	113
KiCS0049_289183	0	0	0	0	0	0	0	79	0	0	0	63	0	0	0	0	73
KiCS0049_289187	0	0	0	0	0	82	0	121	0	0	0	0	0	0	0	0	95
