Samples	Signatures	Mutations
LKCGP-P001201-248752-01-06-01-R1	SBS1	0
LKCGP-P001203-271124-01-02-05-R1	SBS1	0
LKCGP-P001204-263990-01-04-01-D1	SBS1	0
LKCGP-P001205-274088-01-01-01-D1	SBS1	0
LKCGP-P001206-250878-01-02-05-D1	SBS1	0
LKCGP-P001207-262187-01-05-01-D1	SBS1	0
LKCGP-P001301-248794-01-01-01-P2	SBS1	0
LKCGP-P001302-256285-01-01-01-R1	SBS1	0
LKCGP-P001303-271833-01-04-01-D1	SBS1	0
LKCGP-P001304-264103-01-01-01-D1	SBS1	0
LKCGP-P001305-275257-01-04-01-R1	SBS1	0
LKCGP-P001306-255554-01-04-01-D1	SBS1	0
LKCGP-P001307-263444-01-01-01-D1	SBS1	0
LKCGP-P001401-249004-01-01-01-D1	SBS1	0
LKCGP-P001402-258718-01-04-01-P1	SBS1	0
LKCGP-P001403-272819-01-06-01-D1	SBS1	0
LKCGP-P001404-264380-01-01-20-D1	SBS1	0
LKCGP-P001405-277029-01-01-01-P1	SBS1	0
LKCGP-P001406-256347-01-04-01-R3	SBS1	0
LKCGP-P001407-264193-01-02-01-D1	SBS1	0
LKCGP-P001408-312527-01-04-01-R1	SBS1	0
LKCGP-P001501-248024-01-01-01-D1	SBS1	28
LKCGP-P001502-260042-01-01-01-R1	SBS1	0
LKCGP-P001503-272818-01-04-01-D1	SBS1	0
LKCGP-P001504-265128-01-04-01-R1	SBS1	0
LKCGP-P001505-277736-01-01-01-D1	SBS1	0
LKCGP-P001506-257579-01-02-05-P1	SBS1	0
LKCGP-P001602-259355-01-01-01-R1	SBS1	0
LKCGP-P001604-266608-01-04-01-P1	SBS1	0
LKCGP-P001605-279155-01-01-21-D1	SBS1	0
LKCGP-P001606-256646-01-01-01-R1	SBS1	0
LKCGP-P001607-265708-01-06-01-D1	SBS1	0
LKCGP-P001607-265709-01-06-21-D2	SBS1	0
LKCGP-P001702-260384-01-06-01-D1	SBS1	30
LKCGP-P001706-258995-02-06-01-D1	SBS1	0
LKCGP-P001707-266282-12-02-05-R1	SBS1	0
LKCGP-P001801-255648-01-02-05-R2	SBS1	0
LKCGP-P001802-261468-01-01-01-D1	SBS1	0
LKCGP-P001804-268871-01-03-01-D1	SBS1	0
LKCGP-P001806-259724-01-04-01-P1	SBS1	0
LKCGP-P001901-256209-01-01-01-R1	SBS1	0
LKCGP-P001904-268846-01-01-20-D1	SBS1	32
LKCGP-P001906-260072-01-04-01-R1	SBS1	0
LKCGP-P001907-271574-01-06-01-D1	SBS1	0
LKCGP-P002001-256357-01-02-01-R2	SBS1	0
LKCGP-P002004-269139-01-04-01-R1	SBS1	0
LKCGP-P002006-260311-01-02-05-R1	SBS1	0
LKCGP-P002007-273584-01-03-05-R1	SBS1	0
LKCGP-P002101-256446-01-02-19-R2	SBS1	0
LKCGP-P002102-262924-01-04-01-D1	SBS1	0
LKCGP-P002104-269055-01-04-01-D1	SBS1	0
LKCGP-P002107-279150-01-03-01-R1	SBS1	0
LKCGP-P002201-257247-01-04-01-R1	SBS1	0
LKCGP-P002204-269605-01-03-04-R1	SBS1	0
LKCGP-P002301-257587-01-04-01-D1	SBS1	0
LKCGP-P002302-267630-01-01-01-D1	SBS1	0
LKCGP-P002306-263873-01-01-01-D1	SBS1	36
LKCGP-P002402-267982-01-04-01-P1	SBS1	0
LKCGP-P002404-271735-01-01-01-D1	SBS1	0
LKCGP-P002501-259744-01-03-05-R1	SBS1	0
LKCGP-P002502-268459-01-02-05-R1	SBS1	0
LKCGP-P002506-265070-01-01-01-P1	SBS1	0
LKCGP-P002601-260323-01-04-01-P2	SBS1	0
LKCGP-P002602-269189-01-04-01-D1	SBS1	0
LKCGP-P002604-272051-01-04-01-D1	SBS1	0
LKCGP-P002606-265650-01-06-19-R1	SBS1	0
LKCGP-P002701-261129-01-04-21-D1	SBS1	0
LKCGP-P002702-270641-01-04-01-R1	SBS1	0
LKCGP-P002704-273230-01-04-01-R2	SBS1	0
LKCGP-P002801-261252-01-02-05-R1	SBS1	0
LKCGP-P002802-270846-01-01-01-D1	SBS1	0
LKCGP-P002902-273015-01-02-03-P1	SBS1	0
LKCGP-P002904-273913-01-01-01-D1	SBS1	0
LKCGP-P002906-271853-01-04-01-D1	SBS1	0
LKCGP-P003001-262058-01-03-01-P1	SBS1	0
LKCGP-P003002-273246-01-02-01-P1	SBS1	0
LKCGP-P003004-275025-01-02-03-R3	SBS1	51
LKCGP-P003006-272327-01-02-05-R1	SBS1	0
LKCGP-P003101-262198-01-01-21-R2	SBS1	0
LKCGP-P003104-275018-01-03-19-R1	SBS1	0
LKCGP-P003106-274807-01-01-01-P2	SBS1	0
LKCGP-P003201-263868-01-06-01-D1	SBS1	0
LKCGP-P003202-273784-01-01-01-D1	SBS1	0
LKCGP-P003204-276307-01-01-01-D1	SBS1	25
LKCGP-P003206-273438-01-02-05-D1	SBS1	0
LKCGP-P003302-274819-01-01-01-D1	SBS1	0
LKCGP-P003306-273987-01-02-01-D1	SBS1	0
LKCGP-P003401-265908-01-06-01-D1	SBS1	0
LKCGP-P003402-274814-01-01-01-D1	SBS1	0
LKCGP-P003404-276310-01-01-01-R1	SBS1	0
LKCGP-P003501-266284-01-04-01-D1	SBS1	0
LKCGP-P003502-275267-01-01-01-R1	SBS1	0
LKCGP-P003504-276910-01-01-21-R1	SBS1	0
LKCGP-P003506-274441-01-02-05-R1	SBS1	0
LKCGP-P003602-275769-01-06-01-R1	SBS1	0
LKCGP-P003604-277454-01-04-20-D1	SBS1	0
LKCGP-P003606-275528-01-06-19-D1	SBS1	0
LKCGP-P003702-277038-01-04-01-D1	SBS1	0
LKCGP-P003704-277451-01-01-01-D1	SBS1	0
LKCGP-P003707-302481-01-03-01-R1	SBS1	0
LKCGP-P003801-267911-02-06-01-R1	SBS1	0
LKCGP-P003804-277725-01-04-01-R1	SBS1	0
LKCGP-P003901-268344-01-06-01-R1	SBS1	0
LKCGP-P003902-277744-01-01-01-D1	SBS1	0
LKCGP-P003904-279449-01-01-01-D1	SBS1	0
LKCGP-P003906-277863-02-03-03-R3	SBS1	0
LKCGP-P004001-268467-01-01-01-R2	SBS1	0
LKCGP-P004001-268560-01-01-01-R1	SBS1	0
LKCGP-P004101-269599-01-04-01-R1	SBS1	32
LKCGP-P004102-279100-01-04-01-D1	SBS1	0
LKCGP-P004107-311731-01-03-01-D1	SBS1	0
LKCGP-P004201-269359-01-01-01-R1	SBS1	0
LKCGP-P004202-279837-01-04-01-R1	SBS1	0
LKCGP-P004301-270831-01-01-01-D1	SBS1	0
LKCGP-P004401-270614-01-01-01-D1	SBS1	0
LKCGP-P004402-279901-01-01-01-D1	SBS1	0
LKCGP-P004404-282217-01-05-01-R1	SBS1	0
LKCGP-P004501-271563-01-02-05-R1	SBS1	0
LKCGP-P004701-273654-01-02-19-R1	SBS1	0
LKCGP-P004801-275546-01-01-21-D1	SBS1	0
LKCGP-P004804-288456-01-03-01-R1	SBS1	0
LKCGP-P004901-275394-01-02-01-R2	SBS1	0
LKCGP-P005001-275776-01-03-01-R1	SBS1	0
LKCGP-P005101-276367-01-06-19-D1	SBS1	0
LKCGP-P005106-292258-01-01-01-R1	SBS1	0
LKCGP-P005201-276908-01-02-04-D1	SBS1	0
LKCGP-P005301-277991-01-04-01-D1	SBS1	0
LKCGP-P005401-277060-01-01-21-D1	SBS1	0
LKCGP-P005406-294364-01-01-01-R2	SBS1	0
LKCGP-P005501-278087-01-02-01-D1	SBS1	0
LKCGP-P005504-294490-01-01-21-R1	SBS1	0
LKCGP-P005601-279473-01-06-01-D1	SBS1	0
LKCGP-P006104-300166-01-01-01-P1	SBS1	0
LKCGP-P006202-298174-01-04-01-R1	SBS1	0
