	Signature	Precision	Recall	F1-score	Support	Positive Class (in Red)
115	Sig +	0.9411764705882353	0.8648648648648649	0.9014084507042254	37.0	TopRQ
116	Sig -	1.0	1.0	1.0	22.0	Sig+
117	Sig +	1.0	1.0	1.0	22.0	Sig+
118	Sig -	0.7647058823529411	0.8666666666666667	0.8125	15.0	Sig-
119	Sig +	0.8461538461538461	0.7333333333333333	0.7857142857142856	15.0	Sig-
120	Sig -	0.7704918032786885	0.8245614035087719	0.7966101694915254	57.0	"Platinum
Treated"
121	Sig +	0.8113207547169812	0.7543859649122807	0.7818181818181817	57.0	"Platinum
Treated"
122	Sig -	0.8536585365853658	0.9459459459459459	0.8974358974358975	37.0	TopRQ
123	Sig +	0.9393939393939394	0.8378378378378378	0.8857142857142858	37.0	TopRQ
124	Sig -	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
125	Sig +	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
126	Sig -	0.7692307692307693	0.6666666666666666	0.7142857142857142	15.0	Sig-
127	Sig +	0.7058823529411765	0.8	0.7500000000000001	15.0	Sig-
128	Sig -	0.7833333333333333	0.8245614035087719	0.8034188034188033	57.0	"Platinum
Treated"
129	Sig +	0.8148148148148148	0.7719298245614035	0.7927927927927928	57.0	"Platinum
Treated"
130	Sig -	0.8536585365853658	0.9459459459459459	0.8974358974358975	37.0	TopRQ
131	Sig +	0.9393939393939394	0.8378378378378378	0.8857142857142858	37.0	TopRQ
132	Sig -	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
133	Sig +	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
134	Sig -	0.6153846153846154	0.5333333333333333	0.5714285714285715	15.0	Sig-
135	Sig +	0.5882352941176471	0.6666666666666666	0.625	15.0	Sig-
136	Sig -	0.7727272727272727	0.8947368421052632	0.8292682926829269	57.0	"Platinum
Treated"
137	Sig +	0.875	0.7368421052631579	0.7999999999999999	57.0	"Platinum
Treated"
138	Sig -	0.8536585365853658	0.9459459459459459	0.8974358974358975	37.0	TopRQ
139	Sig +	0.9393939393939394	0.8378378378378378	0.8857142857142858	37.0	TopRQ
