	SBS31_early	SBS31_clonal	SBS35_clonal	SBS31_late	SBS35_late	SBS31_subc	SBS35_subc	SBS35	DBS78H2	SBS31	SBS288L5	DBS5	DBS2	DBS6	ID3	clo_total	wgs_total
zcc227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	56.0	0.0	56.0
zcc230	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
zcc31	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
zcc365	0.0	0.0	357.0	0.0	0.0	749.0	0.0	844	28.0	639	0.0	0.0	53.0	0.0	0.0	2617.0	0.0
zcc55	0.0	1123.0	1189.0	0.0	0.0	354.0	0.0	1391	59.0	1291	0.0	27.0	0.0	0.0	0.0	5434.0	0.0
I-H-133673-T2-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	1321	1786.0	65.0	28.0	0.0	0.0	3172.0	0.0
I-H-135462-T1-2-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11389	148.0	0	0.0	122.0	109.0	0.0	0.0	11659.0	0.0
IID_H158186_T02_01_WG01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	26.0	0.0	0.0	26.0
KiCS0032_273811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	270.0	0.0	270.0
KiCS0156_315663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	158.0	0	0.0	0.0	0.0	0.0	0.0	158.0	0.0
KiCS0182_331429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	425.0	0.0	425.0
KiCS0220_18_748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	26.0	0.0	0.0	0.0	0.0
KiCS0345_20_11162_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15340	1210.0	11226	0.0	0.0	792.0	0.0	349.0	27776.0	349.0
zcc79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	438.0	12576	0.0	0.0	245.0	0.0	0.0	13014.0	0.0
zcc292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8711	160.0	17592	0.0	513.0	216.0	0.0	432.0	26976.0	432.0
zcc189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	39.0	0	0.0	0.0	0.0	0.0	0.0	39.0	0.0
