Condition	Zero	One	Two+	Type	Status
Primary-Naive	0.8	0.1	0.1	US	relative_all
Primary-Treated	1.0	0.0	0.0	US	relative_all
Advanced-Naive	0.0	0.0	0.0	US	relative_all
Advanced-Treated	0.3333333333333333	0.0	0.6666666666666666	US	relative_all
All	0.5	0.21428571428571427	0.2857142857142857	MBL	relative_all
Primary-Naive	0.75	0.0	0.25	MBL	relative_all
Primary-Treated	0.6666666666666666	0.3333333333333333	0.0	MBL	relative_all
Advanced-Naive	0.0	0.0	0.0	MBL	relative_all
Advanced-Treated	0.2857142857142857	0.2857142857142857	0.42857142857142855	MBL	relative_all
All	0.9230769230769231	0.07692307692307693	0.0	MRT	relative_all
Primary-Naive	0.8571428571428571	0.14285714285714285	0.0	MRT	relative_all
Primary-Treated	1.0	0.0	0.0	MRT	relative_all
Advanced-Naive	1.0	0.0	0.0	MRT	relative_all
Advanced-Treated	1.0	0.0	0.0	MRT	relative_all
All	0.5	0.3	0.2	TALL	relative_all
Primary-Naive	0.75	0.25	0.0	TALL	relative_all
Primary-Treated	1.0	0.0	0.0	TALL	relative_all
Advanced-Naive	0.0	0.0	0.0	TALL	relative_all
Advanced-Treated	0.2	0.4	0.4	TALL	relative_all
All	68.0	19.0	1.0	NBL	absolute_all
Primary-Naive	5.0	3.0	0.0	NBL	absolute_all
Primary-Treated	22.0	7.0	0.0	NBL	absolute_all
Advanced-Naive	1.0	1.0	0.0	NBL	absolute_all
Advanced-Treated	40.0	8.0	1.0	NBL	absolute_all
All	19.0	14.0	21.0	HGG	absolute_all
Primary-Naive	10.0	6.0	17.0	HGG	absolute_all
Primary-Treated	2.0	3.0	1.0	HGG	absolute_all
Advanced-Naive	0.0	0.0	0.0	HGG	absolute_all
Advanced-Treated	7.0	5.0	3.0	HGG	absolute_all
All	32.0	11.0	1.0	OST	absolute_all
Primary-Naive	8.0	2.0	0.0	OST	absolute_all
Primary-Treated	8.0	2.0	0.0	OST	absolute_all
Advanced-Naive	1.0	0.0	0.0	OST	absolute_all
Advanced-Treated	15.0	7.0	1.0	OST	absolute_all
All	20.0	7.0	7.0	BALL	absolute_all
Primary-Naive	7.0	3.0	3.0	BALL	absolute_all
Primary-Treated	3.0	0.0	0.0	BALL	absolute_all
Advanced-Naive	0.0	0.0	0.0	BALL	absolute_all
Advanced-Treated	10.0	4.0	4.0	BALL	absolute_all
All	20.0	8.0	2.0	EWS	absolute_all
