Samples	Signatures	Mutations
KiCS0277_19_13896_A_02_00	SBS2	0
KiCS0277_19_4280_A_02_01	SBS2	0
KiCS0282_20_18314_A_02_00	SBS2	0
KiCS0283_19_15299_A_02_00	SBS2	0
KiCS0285_19_15633_A_02_00	SBS2	0
KiCS0289_19_15639_A_02_00	SBS2	0
KiCS0292_19_15636_A_02_00	SBS2	0
KiCS0293_19_15645_A_02_00	SBS2	0
KiCS0295_19_3667_A_02_00	SBS2	0
KiCS0296_19_6855	SBS2	31
KiCS0298_19_3826	SBS2	0
KiCS0298_20_11148_A_02_00	SBS2	0
KiCS0299_19_3794	SBS2	0
KiCS0306_19_19567_A_02_00	SBS2	0
KiCS0310_9_15653_A_02_00	SBS2	0
