Samples	SBS1	SBS2	SBS5	SBS7b	SBS13	SBS46
KiCS0310_9_15653_A_02_00	967	0	8031	0	0	0
KiCS0312_19_15651_A_02_00	0	0	10	0	0	0
KiCS0314_19_11045_A_02_00	0	0	4	0	0	0
KiCS0319_19_11213_A_02_00	0	15	4	0	3	0
KiCS0319_19_19753_A_02_00	0	10	2	0	4	0
KiCS0320_20_18316_A_02_00	0	0	8	0	0	0
KiCS0323_19_26722_A_02_00	4	0	45	0	0	0
KiCS0326_19_21779_A_02_00	0	0	4	0	0	0
KiCS0327_20_75_A_02_00	1	0	13	0	0	0
KiCS0329_19_12113_A_02_00	0	0	4	0	0	0
KiCS0332_19_12115_A_02_00	0	7	3	0	7	0
KiCS0337_19_12649_A_02_00	4	0	9	0	0	8
KiCS0339_20_1400_A_02_00	0	18	11	0	9	0
KiCS0341_19_17403_A_02_00	0	5	3	0	10	0
KiCS0343_19_13225_A_06_00	3	0	34	0	0	0
KiCS0345_20_1395_A_02_00	0	15	16	0	28	0
KiCS0349_19_17411_A_02_00	0	0	4	0	0	0
KiCS0350_19_25243_A_02_00	0	0	48	0	0	0
KiCS0350_20_1787_A_02_00	0	0	9	0	6	18
KiCS0354_19_19173_A_02_00	1	0	8	0	0	0
KiCS0356_19_17417_A_02_00	2	0	23	0	0	0
KiCS0358_19_19175_A_02_00	2	0	307	0	0	0
KiCS0359_19_18908_A_02_00	0	0	4	0	0	0
KiCS0362_19_19176_A_02_00	4	0	120	0	0	0
KiCS0363_19_21783_A_02_00	0	0	4	0	0	0
KiCS0363_19_21794_A_02_00	0	0	4	0	0	0
KiCS0366_19_20056_A_02_00	0	4	0	0	0	0
KiCS0366_20_11333_A_02_00	0	0	10	0	0	0
KiCS0370_19_21815_A_02_00	0	0	8	0	0	10
KiCS0374_20_3759_A_02_00	3	12	39	0	11	0
KiCS0374_20_3760_A_02_00	8	0	61	0	0	0
KiCS0375_20_484_A_02_00	0	6	42	0	26	0
KiCS0376_19_23808_A_02_00	0	0	2	0	2	0
KiCS0377_20_18334_A_02_00	2	16	27	0	72	0
KiCS0378_19_25245_A_02_00	0	19	17	24	22	0
KiCS0379_20_18013_A_02_00	0	0	4	0	0	0
KiCS0380_19_25917_A_02_00	0	4	0	0	1	0
KiCS0383_19_25931_A_02_00	11	0	30	0	0	0
KiCS0386_20_425_A_02_00	1	10	29	0	13	0
KiCS0391_20_11161_A_02_00	0	28	11	0	24	0
KiCS0487_20_20203_A_02_00	5	0	35	0	0	0
