Sample_id	SBS	DBS	ID
I-H-135462-T1-2-D1-1	31149	512	7290
I-H-135463-T1-2-D1-1	3571	15	224
I-H-135467-T1-2-D1-1	2332	7	126
I-H-135973-T1-2-D1-1	3563	10	207
I-H-136062-T1-1-D1-1	850	0	230
I-H-136083-T1-2-D1-1	1726	12	128
I-H-136424-T1-1-D1-1	2421	4	234
I-H-108298-T1-1-D1-1	11227	140	697
I-H-108317-T1-1-D1-1	3255	21	900
I-H-108319-T1-1-D1-1	10558	106	808
I-H-108333-T2-2-D1-1	4404	19	648
I-H-121266-T1-2-D1-1	1414	6	312
I-H-133671-T1-2-D1-1	4650	20	324
I-H-133673-T2-1-D1-1	8306	126	469
I-H-133674-T1-2-D1-1	10965	591	695
I-H-133675-T1-2-D1-1	5682	152	1288
I-H-134733-T3-2-D1-1	7522	200	574
I-H-134753-T1-1-D1-1	5539	31	701
I-H-134754-T1-1-D1-1	1441	6	823
I-H-134757-T1-1-D1-1	5957	16	521
I-H-134768-T1-1-D1-2	3512	33	967
IID_H134768_T02_01_WG01	4962	46	1215
I-H-135062-T1-1-D1-1	6553	22	3280
IID_H135068_T05_01_WG01	12542	59	7259
I-H-135074-T1-2-D1-1	23470	88	2891
I-H-135387-T1-1-D1-1	2993	19	234
I-H-135392-T1-1-D1-1	1618	5	44
I-H-135393-T1-1-D1-1	1050	3	326
I-H-135459-T1-2-D1-1	487	2	22
I-H-135963-T1-1-D1-1	3178	30	455
I-H-135963-T2-2-D1-1	3973	54	1004
I-H-135965-T1-1-D1-1	1132	4	33
I-H-135967-T1-2-D1-1	23542	300	2734
I-H-135988-T1-2-D1-1	1566	8	59
I-H-136086-T1-1-D1-1	1366	5	152
I-H-136134-T1-1-D1-1	15495	207	1058
I-H-136375-T1-1-D1-1	7492	217	916
I-H-136428-T1-1-D1-1	3694	12	646
IID_H136433_T07_01_WG01	10013	38	995
IID_H136640_T01_01_WG01	1362	1	191
IID_H136641_T01_01_WG01	2435	14	217
IID_H136648_T01_01_WG01	4736	54	317
IID_H136649_T01_01_WG01	4863	41	571
IID_H156407_T01_01_WG01	5632	25	577
IID_H156409_T01_01_WG01	21429	460	1890
IID_H156416_T01_01_WG01	847	5	51
IID_H156418_T01_01_WG01	1454	14	132
IID_H158181_T01_01_WG01	1068	2	218
IID_H158182_T01_01_WG01	3914	139	1469
IID_H158183_T01_01_WG01	4868	62	309
IID_H158184_T01_01_WG01	4946	34	249
IID_H158186_T01_01_WG01	8008	44	2837
IID_H158186_T02_01_WG01	174714	94	24232
IID_H158223_T01_01_WG01	8528	183	762
IID_H158271_T01_01_WG01	770	5	85
IID_H158493_T01_01_WG01	5037	47	654
